quote_id,equipment_type,"GROUP_CONCAT(CONCAT(' ',e.equipment_name, ': ', t.value))",Make,Model
1324695,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 56, Row Spacing: 7.5"", Air Seeder Model: 1830, Number of Towers: 6, Frame Type: 3 Section",John Deere,1830
1324635,Sprayer,"Sprayer Make: New Holland, Sprayer Model: SP310F, Year: 2022",New Holland,SP310F
1324442,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 48, Row Spacing: 10"", Air Seeder Model: 1890, Number of Towers: 48, Number of Ranks: 2, Number of Rock Shafts: 6",John Deere,1890
1324291,Sprayer,"Sprayer Make: john deere, Sprayer Model: 4730",john deere,4730
1323763,Sprayer,"Sprayer Make: JD, Sprayer Model: 4720",JD,4720
1323738,Sprayer,"Sprayer Make: Rogator, Sprayer Model: 1074",Rogator,1074
1323737,Sprayer,"Sprayer Make: John Deere, Sprayer Model: R4038, Year: 2017",John Deere,R4038
1323654,Sprayer,"Sprayer Make: John Deere, Sprayer Model: 4830, Year: 2016",John Deere,4830
1323641,Sprayer,"Sprayer Make: CIH, Sprayer Model: 4420",CIH,4420
1323623,Sprayer,"Sprayer Make: John Deerd, Sprayer Model: 4930",John Deerd,4930
1323616,Sprayer,"Sprayer Make: rogator, Sprayer Model: 874",rogator,874
1323486,Sprayer,"Sprayer Make: Apache, Sprayer Model: AS1025",Apache,AS1025
1323478,Sprayer,"Sprayer Make: Case IH, Sprayer Model: 4440",Case IH,4440
1323474,Sprayer,"Sprayer Make: patriot, Sprayer Model: 4440",patriot,4440
1323468,Sprayer,"Sprayer Make: CaseIH, Sprayer Model: 4440",CaseIH,4440
1323435,Sprayer,"Sprayer Make: hagie, Sprayer Model: sts10, Year: 2005",hagie,sts10
1323313,Sprayer,"Sprayer Make: JD, Sprayer Model: 400 series , Year: 2022",JD,400 series 
1322951,Sprayer,"Sprayer Make: CIH , Sprayer Model: 4440, Year: 132' boomd",CIH ,4440
1322738,Sprayer,"Sprayer Make: Hagie, Sprayer Model: STS 12",Hagie,STS 12
1322654,Sprayer,"Sprayer Make: Hagie, Sprayer Model: STS, Year: 2020",Hagie,STS
1322632,Sprayer,"Sprayer Make: John Deere, Sprayer Model: R4023",John Deere,R4023
1322463,Sprayer,"Sprayer Make: RoGator, Sprayer Model: 664",RoGator,664
1322395,Sprayer,"Sprayer Make: John Deere , Sprayer Model: 4730",John Deere ,4730
1322308,Sprayer,"Sprayer Make: Case, Sprayer Model: 4430",Case,4430
1322279,Sprayer,"Sprayer Make: Rogater , Sprayer Model: 1074SS",Rogater ,1074SS
1322255,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 78, Row Spacing: 10"", Air Seeder Model: 1895",John Deere,1895
1322227,Sprayer,"Sprayer Make: hagie, Sprayer Model: sts16, Year: 2017",hagie,sts16
1322225,Sprayer,"Sprayer Make: jd, Sprayer Model: 4830",jd,4830
1321982,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 36, Air Seeder Model: 1990, Number of Tanks: 1, # of VR Motors: 1",John Deere,1990
1321953,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 48, Row Spacing: 10"", Air Seeder Model: 1890, Number of Towers: 8",John Deere,1890
1321951,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 48, Row Spacing: 10"", Air Seeder Model: 1990 CCS",John Deere,1990 CCS
1321941,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 48, Air Seeder Model: 1990CCS",John Deere,1990CCS
1321909,Sprayer,"Sprayer Make: Case IH, Sprayer Model: 4330",Case IH,4330
1321816,Sprayer,"Sprayer Make: FAST , Sprayer Model: 9573P, Year: ?",FAST ,9573P
1321780,Sprayer,"Sprayer Make: hagie, Sprayer Model: sts12, Year: 19",hagie,sts12
1321778,Sprayer,"Sprayer Make: hagie, Sprayer Model: hagie sts 12",hagie,hagie sts 12
1321770,Sprayer,"Sprayer Make: John Deere, Sprayer Model: 4038 Sprayer",John Deere,4038 Sprayer
1321653,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 40, Row Spacing: 10"", Air Seeder Model: 1890",John Deere,1890
1321503,Sprayer,"Sprayer Make: Hagie, Sprayer Model: STS12, Year: 2007",Hagie,STS12
1321136,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 68, Row Spacing: 7.5"", Air Seeder Model: 1990CCS",John Deere,1990CCS
1320936,Sprayer," Sprayer Make: GVM PROWLER, Sprayer Model: BLACK",GVM PROWLER,BLACK
1320910,Sprayer,"Sprayer Make: Case, Sprayer Model: 4440, Year: 2020",Case,4440
1320875,Sprayer,"Sprayer Make: Case, Sprayer Model: 3340",Case,3340
1320783,Sprayer,"Sprayer Make: Rogator , Sprayer Model: 1100C",Rogator ,1100C
1320675,Sprayer,"Sprayer Make: New Holland, Sprayer Model: SP310f",New Holland,SP310f
1320464,Sprayer,"Sprayer Make: John Deere, Sprayer Model: R4038, Year: 2016",John Deere,R4038
1320441,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 36, Row Spacing: 10"", Air Seeder Model: 1990, Year: 2012, Number of Tanks: 1, Number of Rock Shafts: 2",John Deere,1990
1320433,Sprayer,"Sprayer Make: Case IH, Sprayer Model: 3330, Year: 2009",Case IH,3330
1320404,Sprayer,"Sprayer Make: New Holland, Sprayer Model: 310F, Year: 2023",New Holland,310F
1320385,Sprayer,"Sprayer Make: deere, Sprayer Model: 4630",deere,4630
1320366,Sprayer,"Sprayer Make: case, Sprayer Model: 4440, Year: 2015",case,4440
1320362,Sprayer,"Sprayer Make: John Deere, Sprayer Model: 4030",John Deere,4030
1320331,Sprayer,"Sprayer Make: John Deere, Sprayer Model: 4630, Year: 2010",John Deere,4630
1320297,Sprayer,"Sprayer Make: john deere, Sprayer Model: 4630, Year: 2010",john deere,4630
1320280,Sprayer,"Sprayer Make: Rogator, Sprayer Model: 854, Year: 1998",Rogator,854
1319977,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 52, Row Spacing: 10"", Air Seeder Model: 1895, Tractor Make: CNH, Tractor Model: STX535",John Deere,1895
1319941,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 48, Air Seeder Model: 1890",John Deere,1890
1319750,Sprayer,"Sprayer Make: John Deere, Sprayer Model: 7038",John Deere,7038
1319713,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 44, Row Spacing: 7.5"", Air Seeder Model: 1890",John Deere,1890
1319576,Air Seeder,"Air Seeder Make: John Deere, Row Spacing: 10"", Air Seeder Model: 1890",John Deere,1890
1319545,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 48, Row Spacing: 10"", Air Seeder Model: 1890",John Deere,1890
1319531,Sprayer,"Sprayer Make: NH, Sprayer Model: 300",NH,300
1319522,Sprayer,"Sprayer Make: Case, Sprayer Model: Patriot 4440",Case,Patriot 4440
1319312,Air Seeder,"Air Seeder Make: Great Plains, Number of Rows: 50, Row Spacing: 10"", Air Seeder Model: ADC 2350",Great Plains,ADC 2350
1319280,Sprayer,"Sprayer Make: JD, Sprayer Model: R4030, Year: 2018",JD,R4030
1319241,Sprayer,"Sprayer Make: John DEERE, Sprayer Model: 4940",John DEERE,4940
1319222,Sprayer,"Sprayer Make: New Holland, Sprayer Model: SP275F , Year: 2012",New Holland,SP275F 
1319054,Sprayer,"Sprayer Make: Top Air, Sprayer Model: 1600",Top Air,1600
1318794,Sprayer,"Sprayer Make: John Deere, Sprayer Model: R4038",John Deere,R4038
1318775,Sprayer,"Sprayer Make: Case IH, Sprayer Model: 3330",Case IH,3330
1318733,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 72, Row Spacing: 10"", Air Seeder Model: 1895, Frame Type: 5 Section",John Deere,1895
1318683,Sprayer,"Sprayer Make: Hagie , Sprayer Model: STS12, Year: 2020",Hagie ,STS12
1318598,Sprayer,"Sprayer Make: caseih, Sprayer Model: 4440",caseih,4440
1318574,Sprayer,"Sprayer Make: John Deere, Sprayer Model: 4730, Year: 2008",John Deere,4730
1318556,Sprayer,"Sprayer Make: John Deere, Sprayer Model: 4750",John Deere,4750
1318215,Sprayer,"Sprayer Make: Case IH, Sprayer Model: 3340, Year: 2020",Case IH,3340
1318167,Sprayer,"Sprayer Make: rogator, Sprayer Model: 1084, Year: 12",rogator,1084
1318161,Sprayer,"Sprayer Make: JD, Sprayer Model: 4038R",JD,4038R
1318157,Sprayer,"Sprayer Make: Apache, Sprayer Model: AS720",Apache,AS720
1318056,Sprayer,Sprayer Model: 4038r,,4038r
1317732,Sprayer,"Sprayer Make: RoGator, Sprayer Model: 700",RoGator,700
1317705,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 32, Row Spacing: 7.5"", Air Seeder Model: 1520, Frame Type: Single Section",John Deere,1520
1317681,Sprayer,"Sprayer Make: case ih, Sprayer Model: 3330, Year: 2014",case ih,3330
1317604,Sprayer,"Sprayer Make: John Deere, Sprayer Model: 7810",John Deere,7810
1317528,Air Seeder,"Air Seeder Make: John Deere, Number of Rows: 64, Air Seeder Model: 1990 ccs",John Deere,1990 ccs
1317447,Sprayer,"Sprayer Make: JD, Sprayer Model: 4730 w/ 120' booms",JD,4730 w
